State: US,All Substances,Heroin,Other opiates,Cocaine,Amphetamines,Other stimulants,Demographic
Total (Number),"1,819,563","465,686","146,880","92,079","187,210","1,879",Total by Number
Total,100,25.6,8.1,5.1,10.3,0.1,Total by Percent
Male,64.9,63.8,52.6,126.9,54.4,53.1,Gender
Female,35,36.2,47.3,72.9,45.5,46.8,Gender
12-17 years,3.8,0.3,0.6,1.4,1.6,4.3,Age
18-20 years,3.9,2.7,2.2,4.4,4,5.6,Age
21-25 years,13.9,17.2,14.9,15.8,15.3,15.1,Age
26-30 years,18.3,24.2,24.9,24.8,21.2,20.5,Age
31-35 years,15.7,17.7,20.9,26.7,20.4,17.6,Age
36-40 years,11.4,10.9,13.2,25,14.9,14.4,Age
41-45 years,8.8,7.5,7.5,24.5,9.4,9.9,Age
46-50 years,8.8,7.3,5.8,30.1,6.8,5.5,Age
51-55 years,8,6,4.9,26.9,4.2,3.7,Age
56-60 years,4.7,3.8,3,14.3,1.8,2.6,Age
61-65 years,2,1.8,1.3,4.7,0.4,0.7,Age
66 years and over,0.8,0.6,0.5,1.4,0.1,0.2,Age
White,66.1,72.4,82.1,87,75.2,79,Race
Black or African-American,17.7,12.2,7.1,87.2,4.7,10.6,Race
American Indian or Alaska Native,2.4,1.1,1.8,2.2,3.4,1.6,Race
Asian or Native Hawaiian or Other Pacific Islander,1.2,0.8,0.7,1.7,2.6,1.5,Race
Other,7.7,8.7,3.6,14,9.3,3.3,Race
Unknown,4.9,4.9,4.8,8,4.7,3.9,Race
