State: US,All Substances,Heroin,Other opiates,Cocaine,Amphetamines,Other stimulants,Demographic
Total (Number),"1,908,741","446,694","130,147","108,002","228,844","2,672",Total by Number
Total,100,23.4,6.8,5.7,12,0.1,Total by Percent
Male,64.6,65.2,54.8,126,56,58.5,Gender
Female,35.3,34.8,44.9,73.9,43.8,41.5,Gender
12-17 years,3.1,0.1,0.4,1,0.8,5.5,Age
18-20 years,2.8,1.2,1.7,3.4,2.9,4.4,Age
21-25 years,10.1,9.9,9.8,14.4,12.4,13.2,Age
26-30 years,17.4,22.4,21.4,26.4,20.7,17.9,Age
31-35 years,16.6,19.7,21.6,28.2,20.7,18.7,Age
36-40 years,13.7,14.2,16.5,26.8,17.1,14.3,Age
41-45 years,9.4,8.6,9.5,21.4,10.4,9.5,Age
46-50 years,8.7,7.9,6.7,24.4,7,7.1,Age
51-55 years,8.1,7.3,5.3,25.9,4.5,4.8,Age
56-60 years,6,5,4,18.6,2.4,2.8,Age
61-65 years,2.8,2.5,2,7.3,0.8,1.2,Age
66 years and over,1.3,1.1,1,2.1,0.2,0.6,Age
White,63.6,68.7,76,91.6,74.8,69,Race
Black or African-American,19,16.7,9.9,83.6,5.9,13.2,Race
American Indian or Alaska Native,2.8,1.1,1.4,1.7,3.4,4,Race
Asian or Native Hawaiian or Other Pacific Islander,1,0.8,0.6,1.5,1.8,1,Race
Other,7.4,8.9,4.1,14.2,8.2,6.3,Race
Unknown,6.2,3.8,8,7.4,5.8,6.5,Race
